age,job,marital, education,default,housing,loan,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,y
37,10,2,7,0,0,0,1,999,3,1,-1.1,94.767,-50.8,1.05,0
36,1,2,7,0,0,0,2,999,0,2,-1.1,94.767,-50.8,1.028,0
30,1,3,7,0,1,0,2,999,0,2,-1.1,94.767,-50.8,1.039,0
64,6,1,6,0,1,0,3,999,0,2,-1.1,94.767,-50.8,1.028,0
30,2,3,6,0,1,0,2,999,0,2,-1.1,94.767,-50.8,1.049,0
34,10,2,8,0,0,0,1,6,2,3,-1.1,94.767,-50.8,1.046,1
36,2,3,2,0,0,0,1,999,0,2,-1.1,94.767,-50.8,1.046,1
29,9,3,4,0,1,1,1,3,3,3,-1.1,94.767,-50.8,1.05,1
62,8,2,4,0,1,0,5,999,0,2,-1.1,94.767,-50.8,1.03,0
45,1,2,7,0,0,0,1,999,3,1,-1.1,94.767,-50.8,1.049,0
33,1,2,7,0,1,0,1,12,1,3,-1.1,94.767,-50.8,1.049,1
18,9,3,1,0,1,0,1,13,2,3,-1.1,94.767,-50.8,1.049,1
62,6,2,7,0,1,0,1,999,2,1,-1.1,94.767,-50.8,1.031,1
42,1,2,7,0,1,0,3,999,1,1,-1.1,94.767,-50.8,1.041,0
50,2,1,6,0,1,0,1,999,0,2,-1.1,94.767,-50.8,1.05,1
61,1,2,4,0,0,0,4,999,0,2,-1.1,94.767,-50.8,1.044,0
29,10,3,6,0,0,1,1,6,2,3,-1.1,94.767,-50.8,1.04,0
33,9,2,6,0,1,0,1,999,0,2,-1.1,94.767,-50.8,1.031,1
48,1,2,7,0,1,0,1,6,3,3,-1.1,94.767,-50.8,1.05,1
38,4,1,7,0,0,0,2,999,0,2,-1.1,94.767,-50.8,1.03,1
60,2,2,1,0,1,0,2,4,1,3,-1.1,94.767,-50.8,1.035,0
54,11,2,6,0,1,0,2,10,4,1,-1.1,94.767,-50.8,1.041,0
27,9,3,4,0,0,1,1,999,0,2,-1.1,94.767,-50.8,1.049,0
32,1,3,4,0,0,0,2,19,2,1,-1.1,94.767,-50.8,1.048,0
24,10,3,7,0,1,1,3,6,3,1,-1.1,94.767,-50.8,1.049,1
41,2,2,3,0,1,0,2,999,1,1,-1.1,94.767,-50.8,1.039,0
50,2,1,6,0,1,0,2,7,2,3,-1.1,94.767,-50.8,1.049,1
73,6,2,6,0,1,0,1,999,0,2,-1.1,94.767,-50.8,1.028,1
31,1,3,7,0,1,0,2,999,0,2,-1.1,94.767,-50.8,1.048,0
46,1,3,4,0,1,0,2,999,2,1,-1.1,94.767,-50.8,1.048,0
31,1,3,7,0,1,0,1,999,0,2,-1.1,94.767,-50.8,1.031,1
54,10,2,8,0,1,0,1,999,1,1,-1.1,94.767,-50.8,1.041,0
36,2,3,2,0,1,0,1,999,0,2,-1.1,94.767,-50.8,1.046,1
37,10,3,6,0,1,0,1,999,0,2,-1.1,94.767,-50.8,1.044,1
61,6,2,7,0,0,0,1,999,0,2,-1.1,94.767,-50.8,1.05,0
46,1,3,7,0,1,0,3,999,1,1,-1.1,94.767,-50.8,1.046,0
29,10,3,7,0,0,0,1,4,1,3,-1.1,94.767,-50.8,1.05,0
31,1,3,4,0,1,0,2,999,0,2,-1.1,94.767,-50.8,1.044,1
46,2,2,6,0,0,0,1,999,0,2,-1.1,94.767,-50.8,1.028,0
61,1,2,4,0,1,1,2,999,0,2,-1.1,94.767,-50.8,1.044,1
34,1,2,7,0,0,0,2,999,0,2,-1.1,94.767,-50.8,1.05,0
38,3,2,7,0,0,0,2,999,0,2,-1.1,94.767,-50.8,1.03,0
32,1,2,7,0,1,0,3,999,0,2,-1.1,94.767,-50.8,1.03,0
44,10,2,6,0,0,0,1,999,0,2,-1.1,94.767,-50.8,1.028,1
32,1,3,4,0,1,0,2,999,1,1,-1.1,94.767,-50.8,1.048,0
60,1,2,8,0,0,0,1,7,2,3,-1.1,94.767,-50.8,1.046,1
50,2,1,6,0,1,0,2,9,3,3,-1.1,94.767,-50.8,1.049,0
40,10,2,3,0,1,0,2,999,3,1,-1.1,94.767,-50.8,1.048,0
54,1,2,6,0,0,0,2,10,1,3,-1.1,94.767,-50.8,1.035,1
35,10,1,1,0,1,0,1,9,4,3,-1.1,94.767,-50.8,1.035,1
58,11,2,7,0,1,0,2,999,0,2,-1.1,94.767,-50.8,1.041,1
41,11,2,3,0,0,0,2,3,2,3,-1.1,94.767,-50.8,1.041,1
35,1,3,6,0,1,0,3,999,0,2,-1.1,94.767,-50.8,1.04,1
35,2,2,3,0,1,0,1,999,2,1,-1.1,94.767,-50.8,1.05,0
28,8,2,4,0,1,0,3,999,2,1,-1.1,94.767,-50.8,1.048,0
19,9,3,3,0,1,0,1,999,1,1,-1.1,94.767,-50.8,1.048,0
29,10,3,6,0,0,0,2,1,1,3,-1.1,94.767,-50.8,1.046,1
31,4,3,7,0,0,0,4,999,0,2,-1.1,94.767,-50.8,1.039,0
34,10,2,8,0,1,0,2,999,2,1,-1.1,94.767,-50.8,1.046,0
46,1,3,7,0,0,1,1,999,1,1,-1.1,94.767,-50.8,1.046,0
37,1,2,7,0,1,0,1,999,0,2,-1.1,94.767,-50.8,1.04,1
38,4,1,4,0,1,1,1,999,0,2,-1.1,94.767,-50.8,1.031,0
41,10,2,6,0,1,0,2,999,0,2,-1.1,94.767,-50.8,1.039,0
52,10,2,7,0,0,0,1,999,1,1,-1.1,94.767,-50.8,1.048,0
35,10,1,1,0,0,0,1,999,0,2,-1.1,94.767,-50.8,1.035,1
48,1,2,4,0,0,0,1,999,2,1,-1.1,94.767,-50.8,1.049,0
26,5,3,7,0,1,0,5,999,0,2,-1.1,94.767,-50.8,1.039,0
67,4,1,6,0,1,0,2,5,5,3,-1.1,94.767,-50.8,1.039,1
33,1,2,7,0,1,0,1,999,1,1,-1.1,94.767,-50.8,1.035,0
34,1,2,7,0,0,0,1,999,1,1,-1.1,94.767,-50.8,1.05,0
31,1,3,7,0,1,0,1,999,0,2,-1.1,94.767,-50.8,1.041,1
56,6,2,7,0,1,0,2,999,0,2,-1.1,94.767,-50.8,1.028,0
34,10,2,8,0,1,0,1,3,1,3,-1.1,94.767,-50.8,1.046,1
32,1,3,4,0,0,0,2,999,2,1,-1.1,94.767,-50.8,1.048,0
31,1,3,7,0,1,0,1,2,5,3,-1.1,94.767,-50.8,1.048,1
32,1,2,7,0,0,0,1,999,1,1,-1.1,94.767,-50.8,1.03,1
24,9,3,4,0,1,1,1,999,0,2,-1.1,94.767,-50.8,1.05,0
18,9,3,8,0,1,0,2,999,3,1,-1.1,94.767,-50.8,1.049,0
34,10,2,8,0,1,0,1,1,4,3,-1.1,94.767,-50.8,1.046,0
39,1,2,4,0,0,0,1,999,1,1,-1.1,94.767,-50.8,1.05,0
62,6,2,7,0,1,0,1,1,6,3,-1.1,94.767,-50.8,1.031,1
61,1,2,4,0,1,0,1,21,5,1,-1.1,94.767,-50.8,1.044,1
51,1,1,4,0,1,1,2,6,4,1,-1.1,94.767,-50.8,1.049,1
34,1,2,7,0,0,0,1,3,3,3,-1.1,94.767,-50.8,1.048,0
60,1,2,8,0,0,0,2,999,0,2,-1.1,94.767,-50.8,1.046,0
51,1,1,4,0,1,0,1,3,7,3,-1.1,94.767,-50.8,1.049,0
45,2,2,4,0,1,1,2,5,3,3,-1.1,94.767,-50.8,1.05,1
41,10,2,6,0,1,0,2,999,0,2,-1.1,94.767,-50.8,1.039,1
31,8,2,4,0,1,0,3,999,0,2,-1.1,94.767,-50.8,1.04,0
51,8,2,4,0,1,0,3,6,3,3,-1.1,94.767,-50.8,1.05,0
41,1,2,7,0,1,0,4,999,0,2,-1.1,94.767,-50.8,1.04,1
29,10,3,7,0,0,0,1,3,2,3,-1.1,94.767,-50.8,1.05,1
41,10,2,6,0,0,0,2,6,1,3,-1.1,94.767,-50.8,1.039,1
59,1,1,4,0,0,0,3,3,2,3,-1.1,94.767,-50.8,1.05,1
58,5,2,7,0,1,0,1,999,0,2,-1.1,94.767,-50.8,1.041,0
58,1,2,4,0,1,0,1,999,2,1,-1.1,94.767,-50.8,1.046,0
37,1,2,7,0,1,0,1,999,0,2,-1.1,94.767,-50.8,1.028,1
74,6,2,6,0,1,0,3,999,1,1,-1.1,94.767,-50.8,1.028,0
64,12,2,8,0,0,0,1,3,3,3,-1.1,94.767,-50.8,1.048,0
51,8,2,4,0,1,0,1,999,1,1,-1.1,94.767,-50.8,1.05,0
51,8,2,4,0,0,1,2,3,4,3,-1.1,94.767,-50.8,1.05,0
62,6,2,7,0,0,0,2,6,3,3,-1.1,94.767,-50.8,1.031,1
