age;job;marital;education;default;housing;loan;campaign;pdays;previous;poutcome;emp.var.rate;cons.price.idx;cons.conf.idx;euribor3m;y
30;2;2;3;0;1;0;2;999;0;1;-1.8;92.893;-46.2;1.313;0
39;8;3;4;0;0;0;4;999;0;1;1.1;93.994;-36.4;4.855;0
25;8;2;4;0;1;0;1;999;0;1;1.4;94.465;-41.8;4.962;0
38;8;2;3;0;2;2;3;999;0;1;1.4;94.465;-41.8;4.959;0
47;1;2;7;0;1;0;1;999;0;1;-0.1;93.2;-42;4.191;0
32;8;3;7;0;0;0;3;999;2;0;-1.1;94.199;-37.5;0.884;0
32;1;3;7;0;1;0;4;999;0;1;-1.1;94.199;-37.5;0.879;0
41;3;2;7;2;1;0;2;999;0;1;-0.1;93.2;-42;4.191;0
31;8;1;6;0;0;0;1;999;1;0;-0.1;93.2;-42;4.153;0
35;2;2;3;2;0;0;1;999;0;1;1.1;93.994;-36.4;4.855;0
25;8;3;2;2;1;0;1;999;0;1;1.4;93.918;-42.7;4.958;0
36;7;3;1;0;0;0;1;999;0;1;1.4;93.918;-42.7;4.968;0
36;1;2;4;0;0;0;2;999;0;1;1.1;93.994;-36.4;4.859;0
47;2;2;1;0;1;0;2;999;0;1;1.4;94.465;-41.8;4.958;0
29;1;3;4;0;0;0;2;999;0;1;-1.8;92.893;-46.2;1.313;0
27;8;3;7;0;0;0;2;999;0;1;1.4;93.918;-42.7;4.963;0
44;1;1;7;0;0;0;6;999;0;1;1.4;93.918;-42.7;4.957;0
46;1;1;7;0;1;0;4;999;0;1;1.4;93.918;-42.7;4.962;0
45;3;2;7;2;1;1;2;999;0;1;1.4;93.444;-36.1;4.965;0
50;2;2;1;0;0;1;1;999;0;1;1.4;93.918;-42.7;4.961;1
55;8;2;2;2;1;0;6;999;0;1;1.4;93.918;-42.7;4.962;0
39;10;1;4;0;0;0;1;12;2;2;-1.8;93.369;-34.8;0.639;1
29;10;3;7;0;1;1;3;999;0;1;1.4;93.444;-36.1;4.967;0
40;5;2;4;0;0;1;1;999;0;1;1.4;93.444;-36.1;4.965;0
44;10;2;6;2;1;0;7;999;0;1;1.1;93.994;-36.4;4.864;0
38;10;2;6;0;1;0;1;999;0;1;1.4;93.444;-36.1;4.965;1
36;10;1;6;0;0;0;1;999;0;1;1.1;93.994;-36.4;4.856;0
28;2;2;2;2;0;0;2;999;1;0;-1.8;92.893;-46.2;1.299;0
47;1;3;8;2;0;0;1;999;0;1;1.1;93.994;-36.4;4.86;0
34;1;2;7;0;0;0;1;999;0;1;1.4;93.444;-36.1;4.963;0
38;10;2;7;0;1;1;1;999;1;0;-1.8;92.843;-50;1.687;0
33;8;2;4;2;1;0;3;999;0;1;1.4;94.465;-41.8;4.865;0
51;10;3;7;0;0;0;2;999;0;1;-2.9;92.963;-40.8;1.268;0
30;2;3;1;2;1;0;1;999;0;1;1.4;94.465;-41.8;4.864;0
48;10;2;7;0;0;0;7;999;0;1;1.4;93.444;-36.1;4.962;0
